,month,flat_type,storey_range,floor_area_sqm,flat_model,remaining_lease,region,mrt_dist,no_of_mrt_within_1km,bus_dist,no_of_bus_within_1km,school_dist,no_of_schools_within_1km,school_type,school_level,school_sap,school_ip,resale_price
53330,1,4 ROOM,01 TO 03,92.0,New Generation,733.0,RCR,0.8847454436839517,1,0.14901096651917525,8,0.5377238352173094,1,GOVERNMENT SCHOOL,SECONDARY,0,0,370000.0
53331,1,4 ROOM,04 TO 06,92.0,New Generation,715.0,RCR,0.96939080475207,1,0.09482698488429303,7,0.4280312478355517,1,GOVERNMENT SCHOOL,SECONDARY,0,0,380000.0
53332,1,4 ROOM,10 TO 12,92.0,New Generation,732.0,RCR,1.0579956508094581,0,0.15365816042956768,4,0.08839336732666034,3,GOVERNMENT SCHOOL,PRIMARY,0,0,380000.0
53333,1,4 ROOM,10 TO 12,92.0,New Generation,708.0,RCR,1.0579956508094581,0,0.15365816042956768,4,0.08839336732666034,3,GOVERNMENT SCHOOL,PRIMARY,0,0,409000.0
53334,1,4 ROOM,07 TO 09,92.0,New Generation,706.0,RCR,1.9425379103651732,0,0.12200145175039336,11,0.347349707940024,3,GOVERNMENT SCHOOL,SECONDARY,0,0,385000.0
53335,1,4 ROOM,13 TO 15,98.0,New Generation,697.0,RCR,1.9425379103651732,0,0.12200145175039336,11,0.347349707940024,3,GOVERNMENT SCHOOL,SECONDARY,0,0,460000.0
53336,1,4 ROOM,13 TO 15,92.0,New Generation,688.0,RCR,1.9425379103651732,0,0.12200145175039336,11,0.347349707940024,3,GOVERNMENT SCHOOL,SECONDARY,0,0,463000.0
53337,1,4 ROOM,01 TO 03,92.0,New Generation,684.0,RCR,1.9425379103651732,0,0.12200145175039336,11,0.347349707940024,3,GOVERNMENT SCHOOL,SECONDARY,0,0,330000.0
53338,1,4 ROOM,04 TO 06,99.0,New Generation,700.0,RCR,1.4153032281016156,0,0.2613995840872816,2,0.12439144404174833,2,GOVERNMENT-AIDED SCH,MIXED LEVELS,1,1,375000.0
53339,1,4 ROOM,10 TO 12,93.0,New Generation,731.0,RCR,0.6985489477267673,1,0.08876148235623135,8,0.3961555764979901,1,GOVERNMENT SCHOOL,PRIMARY,0,0,395000.0
53340,1,4 ROOM,04 TO 06,92.0,New Generation,745.0,RCR,0.6985489477267673,1,0.08876148235623135,8,0.3961555764979901,1,GOVERNMENT SCHOOL,PRIMARY,0,0,395000.0
53341,1,4 ROOM,07 TO 09,91.0,New Generation,738.0,RCR,0.6985489477267673,1,0.08876148235623135,8,0.3961555764979901,1,GOVERNMENT SCHOOL,PRIMARY,0,0,360000.0
53342,1,4 ROOM,07 TO 09,95.0,New Generation,730.0,RCR,0.6985489477267673,1,0.08876148235623135,8,0.3961555764979901,1,GOVERNMENT SCHOOL,PRIMARY,0,0,412000.0
53343,1,4 ROOM,07 TO 09,91.0,New Generation,725.0,RCR,1.0346536115561753,0,0.07506074345312537,6,0.4436075102019988,3,GOVERNMENT SCHOOL,PRIMARY,0,0,395000.0
53344,1,4 ROOM,10 TO 12,90.0,Model A,1004.0,RCR,0.4090855219440901,1,0.06766291270793327,4,0.4625899382934597,3,GOVERNMENT SCHOOL,SECONDARY,0,0,598000.0
53345,1,4 ROOM,07 TO 09,91.0,New Generation,727.0,RCR,0.266335673184139,1,0.05041466309483715,2,0.3970188400285343,2,GOVERNMENT SCHOOL,PRIMARY,0,0,400000.0
53346,1,4 ROOM,10 TO 12,112.0,Model A,879.0,RCR,0.4204235542455188,1,0.13313920013195993,10,0.11262488676657655,1,GOVERNMENT SCHOOL,PRIMARY,0,0,490000.0
53347,1,5 ROOM,01 TO 03,119.0,Improved,727.0,RCR,1.0579956508094581,0,0.15365816042956768,4,0.08839336732666034,3,GOVERNMENT SCHOOL,PRIMARY,0,0,470000.0
53348,1,5 ROOM,10 TO 12,119.0,Improved,712.0,RCR,1.1954700332213974,0,0.15714191952682274,9,0.23437004091280045,2,GOVERNMENT SCHOOL,PRIMARY,0,0,545000.0
53349,1,5 ROOM,19 TO 21,120.0,Improved,720.0,RCR,1.0579956508094581,0,0.15365816042956768,4,0.08839336732666034,3,GOVERNMENT SCHOOL,PRIMARY,0,0,588000.0
53350,1,5 ROOM,16 TO 18,118.0,Improved,732.0,RCR,0.8235909493719031,1,0.09649959805116608,9,0.5273589833767,2,GOVERNMENT SCHOOL,PRIMARY,0,0,578000.0
53351,1,5 ROOM,10 TO 12,117.0,Standard,698.0,RCR,1.9425379103651732,0,0.12200145175039336,11,0.347349707940024,3,GOVERNMENT SCHOOL,SECONDARY,0,0,564000.0
53352,1,5 ROOM,04 TO 06,127.0,Improved,878.0,RCR,1.9425379103651732,0,0.12200145175039336,11,0.347349707940024,3,GOVERNMENT SCHOOL,SECONDARY,0,0,640000.0
53353,1,5 ROOM,07 TO 09,119.0,Improved,726.0,RCR,0.7682596720489415,1,0.19523104428811613,6,0.3567132008039698,1,GOVERNMENT SCHOOL,PRIMARY,0,0,618000.0
53354,1,5 ROOM,19 TO 21,111.0,Improved,1004.0,RCR,0.3735579378379171,1,0.03729694646203475,5,0.47084720045006395,3,GOVERNMENT SCHOOL,SECONDARY,0,0,793800.0
53355,1,5 ROOM,13 TO 15,110.0,Improved,1033.0,RCR,0.7016104586826992,1,0.06964306573185898,10,0.369116770687776,3,GOVERNMENT SCHOOL,PRIMARY,0,0,728000.0
53356,1,5 ROOM,19 TO 21,110.0,Improved,1035.0,RCR,0.6623646786951988,1,0.14425032483711514,9,0.39237126390811095,3,GOVERNMENT SCHOOL,PRIMARY,0,0,770000.0
53357,1,5 ROOM,04 TO 06,110.0,Improved,983.0,RCR,0.7019815883673062,1,0.19109314616733786,10,0.19333190703350547,3,GOVERNMENT SCHOOL,PRIMARY,0,0,648000.0
53358,1,5 ROOM,16 TO 18,110.0,Improved,980.0,RCR,0.7054411519530334,1,0.08411538205976543,8,0.19611390281900065,2,GOVERNMENT SCHOOL,PRIMARY,0,0,728000.0
53359,1,5 ROOM,04 TO 06,120.0,DBSS,1100.0,RCR,0.479102860502603,1,0.09886037355325088,6,0.18527008945445309,2,GOVERNMENT SCHOOL,PRIMARY,0,0,720000.0
53360,1,3 ROOM,01 TO 03,68.0,New Generation,739.0,OCR,0.4576690650357742,1,0.2004938865679848,8,0.12683916003028162,1,GOVERNMENT SCHOOL,PRIMARY,0,0,278000.0
53361,1,3 ROOM,10 TO 12,68.0,New Generation,730.0,OCR,0.2787136005675501,1,0.07422605173972255,8,0.312921809223833,1,GOVERNMENT SCHOOL,PRIMARY,0,0,315000.0
53362,1,3 ROOM,01 TO 03,68.0,New Generation,730.0,OCR,0.2335705591073997,1,0.09832141657250554,10,0.28236923697972444,1,GOVERNMENT SCHOOL,PRIMARY,0,0,280000.0
53363,1,3 ROOM,04 TO 06,60.0,Improved,793.0,OCR,0.2981242878088566,2,0.057870141836155575,8,0.5932947360139907,1,GOVERNMENT SCHOOL,PRIMARY,0,0,270000.0
53364,1,3 ROOM,01 TO 03,70.0,New Generation,787.0,OCR,0.4068105592384329,1,0.08556023165361804,10,0.22721056324153374,3,GOVERNMENT SCHOOL,PRIMARY,0,0,282000.0
53365,1,3 ROOM,10 TO 12,82.0,New Generation,786.0,OCR,0.4068105592384329,1,0.08556023165361804,10,0.22721056324153374,3,GOVERNMENT SCHOOL,PRIMARY,0,0,350000.0
53366,1,3 ROOM,07 TO 09,68.0,New Generation,738.0,OCR,0.4576690650357742,1,0.2004938865679848,8,0.12683916003028162,1,GOVERNMENT SCHOOL,PRIMARY,0,0,290000.0
53367,1,3 ROOM,01 TO 03,61.0,Improved,799.0,OCR,0.15705703339172433,1,0.13412782742637014,7,0.3853956976384744,1,GOVERNMENT SCHOOL,PRIMARY,0,0,250000.0
53368,1,3 ROOM,01 TO 03,68.0,New Generation,735.0,OCR,0.20695137419087234,2,0.18970520241515246,6,0.4615637438172944,1,GOVERNMENT SCHOOL,PRIMARY,0,0,270000.0
53369,1,3 ROOM,01 TO 03,68.0,New Generation,735.0,OCR,0.39643830196468266,2,0.09297621731327127,7,0.5591824266141909,2,GOVERNMENT SCHOOL,PRIMARY,0,0,287000.0
53370,1,3 ROOM,07 TO 09,59.0,Improved,672.0,OCR,0.4084991930741103,1,0.31693203060929204,6,0.4256243616390203,2,GOVERNMENT SCHOOL,MIXED LEVELS,0,1,278000.0
53371,1,3 ROOM,04 TO 06,65.0,Improved,672.0,OCR,0.6016780969318214,1,0.15519607768879093,8,0.25593555800812,2,GOVERNMENT SCHOOL,MIXED LEVELS,0,1,250000.0
53372,1,3 ROOM,13 TO 15,67.0,New Generation,704.0,OCR,1.0247087083551103,0,0.04153393090927589,7,0.31721100545911435,2,GOVERNMENT SCHOOL,PRIMARY,0,0,278000.0
53373,1,3 ROOM,07 TO 09,65.0,Improved,672.0,OCR,0.6016780969318214,1,0.15519607768879093,8,0.25593555800812,2,GOVERNMENT SCHOOL,MIXED LEVELS,0,1,278000.0
53374,1,3 ROOM,07 TO 09,65.0,Improved,648.0,OCR,0.7439317397093907,1,0.07134476367461015,9,0.3661278460281517,2,GOVERNMENT SCHOOL,SECONDARY,0,0,261000.0
53375,1,3 ROOM,10 TO 12,65.0,Improved,630.0,OCR,0.916239645908205,1,0.16825957171446854,9,0.18765670920083474,2,GOVERNMENT SCHOOL,SECONDARY,0,0,265000.0
53376,1,3 ROOM,10 TO 12,65.0,Improved,630.0,OCR,0.9584677119599688,1,0.14083753414525949,10,0.18316745081442026,3,GOVERNMENT SCHOOL,SECONDARY,0,0,250000.0
53377,1,3 ROOM,07 TO 09,80.0,Model A,768.0,OCR,0.868032587550797,1,0.13529653824171364,7,0.22954344005358016,2,GOVERNMENT SCHOOL,SECONDARY,0,0,320000.0
53378,1,3 ROOM,01 TO 03,67.0,New Generation,786.0,OCR,0.5871931698645838,1,0.07863919205636265,6,0.6048168557480841,2,GOVERNMENT SCHOOL,SECONDARY,0,0,303000.0
53379,1,4 ROOM,04 TO 06,84.0,Simplified,809.0,OCR,0.4708120567605577,1,0.10511468244770457,7,0.2298807936356485,1,GOVERNMENT SCHOOL,PRIMARY,0,0,350000.0
53380,1,4 ROOM,01 TO 03,84.0,Simplified,802.0,OCR,0.33066562627608004,1,0.14259122467387358,9,0.2353311511611084,1,GOVERNMENT SCHOOL,PRIMARY,0,0,350000.0
53381,1,4 ROOM,04 TO 06,104.0,Model A,768.0,OCR,0.8236011853724552,1,0.14148154333245042,11,0.20480594414578315,2,GOVERNMENT SCHOOL,SECONDARY,0,0,435000.0
53382,1,4 ROOM,04 TO 06,104.0,New Generation,788.0,OCR,0.4739025231708414,1,0.06933291842398058,8,0.13760073382628432,2,GOVERNMENT SCHOOL,PRIMARY,0,0,385000.0
53383,1,4 ROOM,10 TO 12,84.0,Simplified,807.0,OCR,0.4407824193151344,1,0.12949237676237374,7,0.25437286485227106,2,GOVERNMENT SCHOOL,PRIMARY,0,0,358000.0
53384,1,4 ROOM,10 TO 12,84.0,Simplified,802.0,OCR,0.39989313449804,2,0.013014043258423551,9,0.6653985051543952,1,GOVERNMENT SCHOOL,PRIMARY,0,0,353000.0
53385,1,4 ROOM,07 TO 09,84.0,Simplified,804.0,OCR,0.4273461759293956,1,0.019575260609281057,8,0.13414639861575514,1,GOVERNMENT SCHOOL,PRIMARY,0,0,370000.0
53386,1,4 ROOM,10 TO 12,105.0,Premium Apartment,971.0,OCR,0.2703028500131307,1,0.2623305945074447,5,0.2245451738371496,2,GOVERNMENT SCHOOL,SECONDARY,0,0,545000.0
53387,1,4 ROOM,07 TO 09,90.0,Improved,693.0,OCR,0.9297089318188088,1,0.18359688047135134,6,0.1800092808097478,3,GOVERNMENT SCHOOL,PRIMARY,0,0,338000.0
53388,1,4 ROOM,13 TO 15,84.0,Improved,692.0,OCR,0.9505308761839618,1,0.12577769547010134,9,0.2368693471117703,2,GOVERNMENT SCHOOL,PRIMARY,0,0,375000.0
53389,1,4 ROOM,10 TO 12,83.0,Simplified,783.0,OCR,0.9586108122404334,1,0.1304394208165033,8,0.13806292813641852,3,GOVERNMENT SCHOOL,PRIMARY,0,0,396500.0
53390,1,4 ROOM,13 TO 15,92.0,New Generation,705.0,OCR,0.9982337333835232,1,0.08526266138845967,7,0.27091426431282345,2,GOVERNMENT SCHOOL,PRIMARY,0,0,422000.0
53391,1,4 ROOM,07 TO 09,92.0,New Generation,705.0,OCR,1.0247087083551103,0,0.04153393090927589,7,0.31721100545911435,2,GOVERNMENT SCHOOL,PRIMARY,0,0,418000.0
